Id,X,Y,Z,dX,dY,dZ,Bunny
0,-1499.768084930944,-1108.308813864172,-223,400,400,400,Air
1,-1105.844983726061,-1038.8495427974,-223,400,400,400,Air
2,-711.9218825211781,-969.390271730628,-223,400,400,400,Air
3,-317.9987813162948,-899.9310006638559,-223,400,400,400,Air
4,75.92431988858834,-830.4717295970837,-223,400,400,400,Air
5,469.8474210934714,-761.0124585303115,-223,400,400,400,Air
6,863.770522298355,-691.5531874635394,-223,400,400,400,Air
7,1176.57766596871,-737.9395094646811,-323,200,200,200,Air
8,1141.848030435324,-540.9779588622396,-323,200,200,200,Air
9,1338.809581037765,-506.2483233288535,-323,200,200,200,Air
10,1176.57766596871,-737.9395094646811,-123,200,200,200,Air
11,1141.848030435324,-540.9779588622396,-123,200,200,200,Air
12,1338.809581037765,-506.2483233288535,-123,200,200,200,Air
13,1332.981237803888,-761.132670465252,-373,100,100,100,Air
14,1431.462013105109,-743.7678526985588,-373,100,100,100,
15,1315.616420037195,-662.6518951640312,-373,100,100,100,Air
16,1414.097195338416,-645.2870773973381,-373,100,100,100,
17,1332.981237803888,-761.132670465252,-273,100,100,100,Air
18,1431.462013105109,-743.7678526985588,-273,100,100,100,
19,1315.616420037195,-662.6518951640312,-273,100,100,100,Air
20,1414.097195338416,-645.2870773973381,-273,100,100,100,
21,1332.981237803888,-761.132670465252,-173,100,100,100,Air
22,1431.462013105109,-743.7678526985588,-173,100,100,100,
23,1315.616420037195,-662.6518951640312,-173,100,100,100,Air
24,1414.097195338416,-645.2870773973381,-173,100,100,100,
25,1332.981237803888,-761.132670465252,-73,100,100,100,Air
26,1431.462013105109,-743.7678526985588,-73,100,100,100,
27,1315.616420037195,-662.6518951640312,-73,100,100,100,Air
28,1414.097195338416,-645.2870773973381,-73,100,100,100,
29,-1569.227355997717,-714.3857126592892,-223,400,400,400,Air
30,-1175.304254792833,-644.926441592517,-223,400,400,400,Air
31,-862.497111122478,-691.3127635936587,-323,200,200,200,Air
32,-862.497111122478,-691.3127635936587,-123,200,200,200,Air
33,-706.0935392873002,-714.5059245942296,-373,100,100,100,Air
34,-607.6127639860795,-697.1411068275364,-373,100,100,100,Air
35,-723.4583570539933,-616.0251492930088,-373,100,100,100,Air
36,-624.9775817527725,-598.6603315263156,-373,100,100,100,Air
37,-706.0935392873002,-714.5059245942296,-273,100,100,100,Air
38,-607.6127639860795,-697.1411068275364,-273,100,100,100,Air
39,-723.4583570539933,-616.0251492930088,-273,100,100,100,Air
40,-624.9775817527725,-598.6603315263156,-273,100,100,100,Body
41,-937.784725423128,-552.2740095251739,-373,100,100,100,Air
42,-839.3039501219072,-534.9091917584809,-373,100,100,100,Air
43,-955.149543189821,-453.7932342239532,-373,100,100,100,Air
